"State 
FIPS 
code","Group 
code",State,Population group,Civilian non-institutional population,Civilian labor force total,Civilian labor force percent,Employed total,Employed Percent of population,Unemployed total,Rate,Error range of rate(1)
1,34,Alabama,"Women, 20 to 24 years",171,108,63.5,98,57.7,10,9.2,5.3 – 13.1
1,35,Alabama,"Women, 25 to 34 years",327,246,75.3,238,73,8,3.1,1.6 – 4.6
1,36,Alabama,"Women, 35 to 44 years",299,220,73.6,214,71.6,6,2.6,1.1 – 4.1
1,37,Alabama,"Women, 45 to 54 years",324,217,67.1,214,65.9,4,1.7,0.5 – 2.9
1,38,Alabama,"Women, 55 to 64 years",362,180,49.9,176,48.8,4,2.1,0.7 – 3.5
1,41,Alabama,"White, 20 to 24 years",208,153,73.5,146,70.3,7,4.4,2.1 – 6.7
1,42,Alabama,"White, 25 to 34 years",426,352,82.7,343,80.6,9,2.5,1.4 – 3.6
1,43,Alabama,"White, 35 to 44 years",394,318,80.7,310,78.7,8,2.5,1.3 – 3.7
1,44,Alabama,"White, 45 to 54 years",444,342,77.1,337,75.9,5,1.5,0.6 – 2.4
1,45,Alabama,"White, 55 to 64 years",486,293,60.3,289,59.4,5,1.6,0.6 – 2.6
1,46,Alabama,"White, 65 years and over",625,107,17.2,107,17.1,1,0.8,(2)-
1,49,Alabama,"Black or African American, 25 to 34 years",189,143,75.7,138,73.3,4,3.1,1.0 – 5.2
1,50,Alabama,"Black or African American, 35 to 44 years",159,125,78.4,122,76.5,3,2.5,0.5 – 4.5
1,51,Alabama,"Black or African American, 45 to 54 years",157,105,67,102,64.8,3,3.3,0.8 – 5.8
1,52,Alabama,"Black or African American, 55 to 64 years",175,90,51.5,88,50.3,2,2.3,(2)-
2,1,Alaska,Total,545,344,63.1,323,59.3,21,6.1,5.1 – 7.1
2,2,Alaska,Men,278,185,66.7,171,61.7,14,7.4,5.8 – 9.0
2,3,Alaska,Women,267,159,59.5,152,56.7,7,4.6,3.2 – 6.0
2,4,Alaska,White,351,225,64.2,217,61.9,8,3.7,2.7 – 4.7
2,5,Alaska,"White, men",183,125,68.2,120,65.5,5,4,2.6 – 5.4
2,6,Alaska,"White, women",168,101,59.9,97,57.9,3,3.3,1.9 – 4.7
2,10,Alaska,Asian,36,24,67.2,23,64.9,1,3.4,1.3 – 5.5
2,13,Alaska,Hispanic or Latino ethnicity,30,20,67.6,20,64.8,1,4.3,1.4 – 7.2
2,16,Alaska,"Married men, spouse present",130,92,70.5,89,68,3,3.6,2.0 – 5.2
2,17,Alaska,"Married women, spouse present",132,80,60.4,77,58.3,3,3.3,1.7 – 4.9
2,18,Alaska,Women who maintain families,31,19,63.6,19,60.8,1,4.4,0.6 – 8.2
2,19,Alaska,"Total, 16 to 19 years",40,15,39,13,33.2,2,15,7.2 – 22.8
2,20,Alaska,"Total, 20 to 24 years",50,38,74.8,33,65.9,4,11.9,7.5 – 16.3
2,21,Alaska,"Total, 25 to 34 years",106,84,79.2,78,74.3,5,6.2,4.0 – 8.4
2,22,Alaska,"Total, 35 to 44 years",83,65,78.4,62,74.8,3,4.6,2.5 – 6.7
2,23,Alaska,"Total, 45 to 54 years",80,65,81.1,62,77.5,3,4.3,2.3 – 6.3
2,24,Alaska,"Total, 55 to 64 years",93,56,60.6,54,58.3,2,3.8,1.7 – 5.9
2,25,Alaska,"Total, 65 years and over",94,21,22.7,20,21.6,1,5,1.2 – 8.8
2,27,Alaska,"Men, 20 to 24 years",28,21,75.3,18,63.5,3,15.7,8.8 – 22.6
2,28,Alaska,"Men, 25 to 34 years",53,45,85.3,42,79.4,3,6.9,3.8 – 10.0
2,29,Alaska,"Men, 35 to 44 years",40,34,85.1,32,79.9,2,6.1,2.7 – 9.5
2,30,Alaska,"Men, 45 to 54 years",40,35,86.3,33,81.3,2,5.8,2.5 – 9.1
2,31,Alaska,"Men, 55 to 64 years",48,31,64.4,30,62.1,1,3.6,0.9 – 6.3
2,34,Alaska,"Women, 20 to 24 years",22,17,74.2,15,68.8,1,7.2,2.0 – 12.4
2,35,Alaska,"Women, 25 to 34 years",53,39,73.2,37,69.2,2,5.4,2.4 – 8.4
2,36,Alaska,"Women, 35 to 44 years",43,31,72.2,30,70.2,1,2.8,0.4 – 5.2
2,37,Alaska,"Women, 45 to 54 years",40,30,75.8,29,73.7,1,2.7,0.3 – 5.1
2,38,Alaska,"Women, 55 to 64 years",45,26,56.6,24,54.3,1,4,0.9 – 7.1
2,41,Alaska,"White, 20 to 24 years",27,21,76,20,72.5,1,4.6,0.8 – 8.4
2,42,Alaska,"White, 25 to 34 years",61,50,81.6,48,78.8,2,3.4,1.3 – 5.5
2,43,Alaska,"White, 35 to 44 years",55,44,80.5,43,78.1,1,2.9,0.9 – 4.9
2,44,Alaska,"White, 45 to 54 years",54,46,84.4,44,81.8,1,3.1,1.0 – 5.2
2,45,Alaska,"White, 55 to 64 years",66,42,63.7,41,61.5,1,3.4,1.1 – 5.7
2,46,Alaska,"White, 65 years and over",69,16,22.9,15,21.6,1,5.5,0.8 – 10.2
4,1,Arizona,Total,"5,713","3,539",62,"3,369",59,171,4.8,4.2 – 5.4
4,2,Arizona,Men,"2,788","1,882",67.5,"1,798",64.5,84,4.5,3.7 – 5.3
4,3,Arizona,Women,"2,925","1,657",56.7,"1,570",53.7,87,5.2,4.3 – 6.1
4,4,Arizona,White,"4,850","2,957",61,"2,821",58.2,136,4.6,3.9 – 5.3
4,5,Arizona,"White, men","2,384","1,604",67.3,"1,537",64.5,66,4.1,3.2 – 5.0
4,6,Arizona,"White, women","2,465","1,353",54.9,"1,284",52.1,69,5.1,4.1 – 6.1
4,7,Arizona,Black or African American,258,174,67.5,161,62.6,13,7.3,4.0 – 10.6
4,8,Arizona,"Black or African American, men",129,88,68.3,81,63,7,7.8,3.0 – 12.6
4,9,Arizona,"Black or African American, women",129,86,66.7,80,62.2,6,6.8,2.3 – 11.3
4,10,Arizona,Asian,234,156,66.5,148,63.1,8,5.2,2.5 – 7.9
4,12,Arizona,"Asian, women",129,84,65,80,62.3,3,4.1,0.8 – 7.4
4,13,Arizona,Hispanic or Latino ethnicity,"1,754","1,138",64.9,"1,075",61.3,63,5.5,4.2 – 6.8
4,14,Arizona,"Hispanic or Latino ethnicity, men",853,626,73.4,596,69.9,30,4.8,3.1 – 6.5
4,15,Arizona,"Hispanic or Latino ethnicity, women",901,512,56.9,479,53.2,33,6.4,4.3 – 8.5
4,16,Arizona,"Married men, spouse present","1,396",984,70.5,961,68.8,23,2.3,1.5 – 3.1
4,17,Arizona,"Married women, spouse present","1,434",760,53,732,51,29,3.8,2.6 – 5.0
4,18,Arizona,Women who maintain families,330,242,73.5,227,68.8,16,6.4,3.6 – 9.2
4,19,Arizona,"Total, 16 to 19 years",410,164,40.1,138,33.6,26,16,10.7 – 21.3
4,20,Arizona,"Total, 20 to 24 years",516,400,77.6,375,72.7,25,6.3,4.2 – 8.4
4,21,Arizona,"Total, 25 to 34 years",889,729,82.1,689,77.5,41,5.6,4.1 – 7.1
4,22,Arizona,"Total, 35 to 44 years",885,738,83.4,714,80.6,24,3.3,2.2 – 4.4
4,23,Arizona,"Total, 45 to 54 years",932,755,81,732,78.6,22,2.9,1.9 – 3.9
4,24,Arizona,"Total, 55 to 64 years",886,560,63.2,540,61,20,3.6,2.2 – 5.0
4,25,Arizona,"Total, 65 years and over","1,195",192,16.1,181,15.1,12,6.2,3.1 – 9.3
4,26,Arizona,"Men, 16 to 19 years",225,88,39.2,70,30.9,19,21.4,13.0 – 29.8
4,27,Arizona,"Men, 20 to 24 years",281,216,77,204,72.5,13,5.9,3.1 – 8.7
4,28,Arizona,"Men, 25 to 34 years",435,384,88.2,367,84.5,16,4.3,2.5 – 6.1
4,29,Arizona,"Men, 35 to 44 years",419,389,92.9,379,90.4,11,2.7,1.3 – 4.1
4,30,Arizona,"Men, 45 to 54 years",455,398,87.6,388,85.3,11,2.6,1.2 – 4.0
4,31,Arizona,"Men, 55 to 64 years",421,294,70,286,68.1,8,2.7,1.1 – 4.3
4,32,Arizona,"Men, 65 years and over",553,112,20.3,105,19.1,7,6,2.1 – 9.9
4,34,Arizona,"Women, 20 to 24 years",235,184,78.2,171,73,12,6.7,3.5 – 9.9
4,35,Arizona,"Women, 25 to 34 years",454,346,76.1,322,70.8,24,7,4.6 – 9.4
4,36,Arizona,"Women, 35 to 44 years",466,349,74.8,335,71.9,14,3.9,2.1 – 5.7
4,37,Arizona,"Women, 45 to 54 years",477,356,74.7,345,72.2,12,3.3,1.7 – 4.9
4,38,Arizona,"Women, 55 to 64 years",465,266,57.1,254,54.5,12,4.6,2.4 – 6.8
4,40,Arizona,"White, 16 to 19 years",328,135,41.2,113,34.6,22,16.1,10.2 – 22.0
4,41,Arizona,"White, 20 to 24 years",412,323,78.3,303,73.7,19,5.9,3.6 – 8.2
4,42,Arizona,"White, 25 to 34 years",720,591,82,558,77.6,32,5.5,3.9 – 7.1
4,43,Arizona,"White, 35 to 44 years",732,606,82.9,589,80.5,17,2.9,1.7 – 4.1
4,44,Arizona,"White, 45 to 54 years",780,631,80.9,611,78.4,20,3.1,1.9 – 4.3
4,45,Arizona,"White, 55 to 64 years",777,491,63.2,476,61.3,15,3,1.7 – 4.3
4,46,Arizona,"White, 65 years and over","1,102",180,16.4,170,15.4,10,5.7,2.7 – 8.7
4,62,Arizona,"Hispanic or Latino ethnicity, 20 to 24 years",180,141,78,132,73.1,9,6.3,2.3 – 10.3
4,63,Arizona,"Hispanic or Latino ethnicity, 25 to 34 years",346,275,79.4,261,75.4,14,5,2.5 – 7.5
4,64,Arizona,"Hispanic or Latino ethnicity, 35 to 44 years",332,274,82.4,263,79.2,11,3.9,1.6 – 6.2
4,65,Arizona,"Hispanic or Latino ethnicity, 45 to 54 years",269,209,77.7,202,75.4,6,3,0.7 – 5.3
4,66,Arizona,"Hispanic or Latino ethnicity, 55 to 64 years",211,133,62.9,126,59.9,6,4.9,1.3 – 8.5
5,1,Arkansas,Total,"2,343","1,367",58.3,"1,318",56.3,48,3.5,3.0 – 4.0
5,2,Arkansas,Men,"1,126",720,63.9,695,61.7,25,3.5,2.7 – 4.3
5,3,Arkansas,Women,"1,217",647,53.1,624,51.2,23,3.6,2.8 – 4.4
5,4,Arkansas,White,"1,911","1,119",58.6,"1,084",56.7,35,3.1,2.5 – 3.7
5,5,Arkansas,"White, men",931,607,65.2,588,63.2,19,3.1,2.3 – 3.9
5,6,Arkansas,"White, women",979,512,52.2,495,50.6,16,3.2,2.3 – 4.1
5,7,Arkansas,Black or African American,344,199,58,187,54.5,12,5.9,3.9 – 7.9
5,8,Arkansas,"Black or African American, men",153,88,57.3,82,53.6,6,6.4,3.2 – 9.6
5,9,Arkansas,"Black or African American, women",190,111,58.5,105,55.3,6,5.5,2.9 – 8.1
5,13,Arkansas,Hispanic or Latino ethnicity,172,117,67.9,114,66.3,3,2.3,0.8 – 3.8
5,14,Arkansas,"Hispanic or Latino ethnicity, men",92,77,83.3,75,81.5,2,2.2,0.4 – 4.0
5,16,Arkansas,"Married men, spouse present",607,414,68.1,407,67,7,1.6,0.9 – 2.3
5,17,Arkansas,"Married women, spouse present",585,327,55.9,320,54.8,6,1.9,1.1 – 2.7
5,18,Arkansas,Women who maintain families,149,94,63,88,58.9,6,6.6,3.7 – 9.5
5,19,Arkansas,"Total, 16 to 19 years",158,55,34.6,49,31.3,5,9.6,5.1 – 14.1
5,20,Arkansas,"Total, 20 to 24 years",198,145,73,138,69.5,7,4.8,2.8 – 6.8
5,21,Arkansas,"Total, 25 to 34 years",403,319,79.1,306,75.7,13,4.2,3.0 – 5.4
5,22,Arkansas,"Total, 35 to 44 years",336,270,80.4,261,77.6,9,3.5,2.3 – 4.7
5,23,Arkansas,"Total, 45 to 54 years",346,263,76,255,73.9,7,2.8,1.7 – 3.9
5,24,Arkansas,"Total, 55 to 64 years",393,230,58.5,225,57.3,5,2,1.0 – 3.0
5,25,Arkansas,"Total, 65 years and over",509,86,16.8,84,16.5,1,1.7,0.2 – 3.2
5,27,Arkansas,"Men, 20 to 24 years",91,71,78,68,74.2,3,4.9,2.1 – 7.7
5,28,Arkansas,"Men, 25 to 34 years",207,176,85.4,169,81.9,7,4.1,2.5 – 5.7
5,29,Arkansas,"Men, 35 to 44 years",166,143,86.5,138,83.2,5,3.8,2.0 – 5.6
5,30,Arkansas,"Men, 45 to 54 years",163,134,82.5,131,80.2,4,2.7,1.2 – 4.2
5,31,Arkansas,"Men, 55 to 64 years",192,121,63,119,61.7,2,2,0.6 – 3.4
5,34,Arkansas,"Women, 20 to 24 years",107,73,68.7,70,65.5,3,4.6,1.9 – 7.3
5,35,Arkansas,"Women, 25 to 34 years",197,143,72.4,136,69.3,6,4.3,2.4 – 6.2
5,36,Arkansas,"Women, 35 to 44 years",170,127,74.5,123,72.1,4,3.1,1.4 – 4.8
5,37,Arkansas,"Women, 45 to 54 years",183,129,70.3,125,68.2,4,2.9,1.3 – 4.5
5,38,Arkansas,"Women, 55 to 64 years",201,109,54.2,107,53.1,2,2.1,0.6 – 3.6
5,41,Arkansas,"White, 20 to 24 years",155,113,72.9,108,69.7,5,4.4,2.3 – 6.5
5,42,Arkansas,"White, 25 to 34 years",317,255,80.6,247,78,8,3.3,2.1 – 4.5
5,43,Arkansas,"White, 35 to 44 years",267,214,80.3,207,77.6,7,3.4,2.0 – 4.8
5,44,Arkansas,"White, 45 to 54 years",285,220,77.1,214,74.9,6,2.9,1.7 – 4.1
5,45,Arkansas,"White, 55 to 64 years",327,198,60.4,194,59.2,4,2,0.9 – 3.1
5,46,Arkansas,"White, 65 years and over",443,74,16.7,73,16.4,1,1.6,(2)-
5,49,Arkansas,"Black or African American, 25 to 34 years",66,50,75.6,45,68.4,5,9.5,4.3 – 14.7
6,1,California,Total,"31,107","19,345",62.2,"18,555",59.6,790,4.1,3.8 – 4.4
6,2,California,Men,"15,202","10,560",69.5,"10,132",66.6,428,4.1,3.7 – 4.5
6,3,California,Women,"15,905","8,785",55.2,"8,423",53,362,4.1,3.7 – 4.5
6,4,California,White,"22,494","13,997",62.2,"13,433",59.7,564,4,3.7 – 4.3
6,5,California,"White, men","11,140","7,797",70,"7,491",67.2,306,3.9,3.5 – 4.3
6,6,California,"White, women","11,354","6,200",54.6,"5,941",52.3,258,4.2,3.7 – 4.7
6,7,California,Black or African American,"1,972","1,185",60.1,"1,121",56.8,64,5.4,4.2 – 6.6
6,8,California,"Black or African American, men",942,601,63.8,562,59.7,38,6.3,4.5 – 8.1
6,9,California,"Black or African American, women","1,031",584,56.7,558,54.1,26,4.5,2.9 – 6.1
6,10,California,Asian,"5,181","3,212",62,"3,106",60,106,3.3,2.8 – 3.8
6,11,California,"Asian, men","2,397","1,654",69,"1,597",66.6,57,3.4,2.7 – 4.1
6,12,California,"Asian, women","2,784","1,558",56,"1,509",54.2,49,3.2,2.5 – 3.9
6,13,California,Hispanic or Latino ethnicity,"11,028","7,205",65.3,"6,862",62.2,343,4.8,4.3 – 5.3
6,14,California,"Hispanic or Latino ethnicity, men","5,509","4,077",74,"3,896",70.7,180,4.4,3.8 – 5.0
6,15,California,"Hispanic or Latino ethnicity, women","5,520","3,128",56.7,"2,966",53.7,162,5.2,4.5 – 5.9
6,16,California,"Married men, spouse present","7,566","5,586",73.8,"5,447",72,139,2.5,2.1 – 2.9
6,17,California,"Married women, spouse present","7,346","4,014",54.6,"3,901",53.1,113,2.8,2.3 – 3.3
6,18,California,Women who maintain families,"1,788","1,174",65.7,"1,111",62.1,64,5.4,4.2 – 6.6
6,19,California,"Total, 16 to 19 years","1,989",522,26.3,447,22.5,76,14.5,11.4 – 17.6
6,20,California,"Total, 20 to 24 years","2,576","1,745",67.7,"1,616",62.7,129,7.4,6.2 – 8.6
6,21,California,"Total, 25 to 34 years","5,864","4,763",81.2,"4,567",77.9,196,4.1,3.6 – 4.6
6,22,California,"Total, 35 to 44 years","5,244","4,266",81.4,"4,146",79.1,120,2.8,2.3 – 3.3
6,23,California,"Total, 45 to 54 years","4,940","3,928",79.5,"3,800",76.9,128,3.3,2.8 – 3.8
6,24,California,"Total, 55 to 64 years","4,649","2,978",64.1,"2,881",62,97,3.3,2.7 – 3.9
6,25,California,"Total, 65 years and over","5,845","1,142",19.5,"1,099",18.8,44,3.8,2.7 – 4.9
6,26,California,"Men, 16 to 19 years","1,016",264,26,224,22.1,40,15,10.6 – 19.4
6,27,California,"Men, 20 to 24 years","1,295",901,69.5,825,63.7,76,8.5,6.7 – 10.3
6,28,California,"Men, 25 to 34 years","2,942","2,559",87,"2,460",83.6,99,3.9,3.2 – 4.6
6,29,California,"Men, 35 to 44 years","2,645","2,405",90.9,"2,343",88.6,62,2.6,2.0 – 3.2
6,30,California,"Men, 45 to 54 years","2,457","2,169",88.2,"2,092",85.1,77,3.5,2.8 – 4.2
6,31,California,"Men, 55 to 64 years","2,243","1,629",72.6,"1,578",70.3,51,3.1,2.3 – 3.9
6,32,California,"Men, 65 years and over","2,605",634,24.3,610,23.4,24,3.7,2.3 – 5.1
6,33,California,"Women, 16 to 19 years",974,258,26.5,223,22.9,36,13.9,9.6 – 18.2
6,34,California,"Women, 20 to 24 years","1,281",844,65.9,791,61.8,53,6.3,4.7 – 7.9
6,35,California,"Women, 25 to 34 years","2,922","2,204",75.4,"2,106",72.1,97,4.4,3.6 – 5.2
6,36,California,"Women, 35 to 44 years","2,600","1,861",71.6,"1,803",69.4,58,3.1,2.4 – 3.8
6,37,California,"Women, 45 to 54 years","2,482","1,759",70.9,"1,708",68.8,51,2.9,2.2 – 3.6
6,38,California,"Women, 55 to 64 years","2,406","1,350",56.1,"1,304",54.2,46,3.4,2.5 – 4.3
6,39,California,"Women, 65 years and over","3,240",509,15.7,489,15.1,20,3.9,2.3 – 5.5
6,40,California,"White, 16 to 19 years","1,432",409,28.6,347,24.2,62,15.3,11.7 – 18.9
6,41,California,"White, 20 to 24 years","1,815","1,274",70.2,"1,186",65.4,88,6.9,5.5 – 8.3
6,42,California,"White, 25 to 34 years","4,040","3,332",82.5,"3,207",79.4,125,3.7,3.1 – 4.3
6,43,California,"White, 35 to 44 years","3,791","3,077",81.2,"2,989",78.8,89,2.9,2.3 – 3.5
6,44,California,"White, 45 to 54 years","3,559","2,835",79.7,"2,746",77.2,89,3.1,2.5 – 3.7
6,45,California,"White, 55 to 64 years","3,418","2,192",64.1,"2,117",61.9,75,3.4,2.7 – 4.1
6,46,California,"White, 65 years and over","4,440",878,19.8,841,18.9,36,4.1,2.9 – 5.3
6,49,California,"Black or African American, 25 to 34 years",472,360,76.2,334,70.8,26,7.2,4.7 – 9.7
6,50,California,"Black or African American, 35 to 44 years",300,228,75.9,218,72.9,9,4,1.6 – 6.4
6,51,California,"Black or African American, 45 to 54 years",309,238,77,226,73.2,12,4.9,2.4 – 7.4
6,52,California,"Black or African American, 55 to 64 years",329,186,56.7,183,55.6,4,2,0.2 – 3.8
6,55,California,"Asian, 20 to 24 years",416,239,57.6,222,53.3,18,7.4,4.6 – 10.2
6,56,California,"Asian, 25 to 34 years","1,020",794,77.9,767,75.3,26,3.3,2.3 – 4.3
6,57,California,"Asian, 35 to 44 years",898,742,82.7,726,80.9,16,2.1,1.2 – 3.0
6,58,California,"Asian, 45 to 54 years",874,704,80.5,684,78.3,20,2.8,1.8 – 3.8
6,59,California,"Asian, 55 to 64 years",727,497,68.3,482,66.3,15,3,1.7 – 4.3
6,60,California,"Asian, 65 years and over",951,187,19.7,182,19.1,5,2.8,0.8 – 4.8
6,61,California,"Hispanic or Latino ethnicity, 16 to 19 years",967,269,27.8,226,23.4,43,15.9,11.5 – 20.3
6,62,California,"Hispanic or Latino ethnicity, 20 to 24 years","1,225",858,70,798,65.1,60,7,5.4 – 8.6
6,63,California,"Hispanic or Latino ethnicity, 25 to 34 years","2,393","1,922",80.3,"1,838",76.8,84,4.4,3.5 – 5.3
6,64,California,"Hispanic or Latino ethnicity, 35 to 44 years","2,129","1,696",79.7,"1,639",77,58,3.4,2.6 – 4.2
6,65,California,"Hispanic or Latino ethnicity, 45 to 54 years","1,792","1,375",76.7,"1,326",74,49,3.6,2.7 – 4.5
6,66,California,"Hispanic or Latino ethnicity, 55 to 64 years","1,373",880,64.1,843,61.4,38,4.3,3.0 – 5.6
6,67,California,"Hispanic or Latino ethnicity, 65 years and over","1,149",204,17.7,192,16.7,12,6,2.9 – 9.1
8,1,Colorado,Total,"4,545","3,135",69,"3,055",67.2,80,2.6,2.1 – 3.1
8,2,Colorado,Men,"2,258","1,696",75.1,"1,658",73.4,38,2.3,1.6 – 3.0
8,3,Colorado,Women,"2,287","1,439",62.9,"1,397",61.1,42,2.9,2.1 – 3.7
8,4,Colorado,White,"4,029","2,792",69.3,"2,724",67.6,67,2.4,1.9 – 2.9
8,5,Colorado,"White, men","1,985","1,505",75.8,"1,470",74.1,35,2.3,1.6 – 3.0
8,6,Colorado,"White, women","2,043","1,286",62.9,"1,254",61.4,32,2.5,1.7 – 3.3
8,13,Colorado,Hispanic or Latino ethnicity,945,671,71,648,68.6,23,3.4,2.1 – 4.7
8,14,Colorado,"Hispanic or Latino ethnicity, men",482,378,78.6,368,76.4,10,2.7,1.2 – 4.2
8,15,Colorado,"Hispanic or Latino ethnicity, women",463,293,63.1,280,60.4,13,4.4,2.2 – 6.6
8,16,Colorado,"Married men, spouse present","1,123",850,75.7,837,74.5,13,1.5,0.7 – 2.3
8,17,Colorado,"Married women, spouse present","1,152",725,62.9,710,61.6,15,2,1.0 – 3.0
8,20,Colorado,"Total, 20 to 24 years",412,314,76.2,303,73.6,11,3.4,1.5 – 5.3
8,21,Colorado,"Total, 25 to 34 years",873,773,88.5,754,86.4,19,2.4,1.4 – 3.4
8,22,Colorado,"Total, 35 to 44 years",758,651,85.9,636,83.9,15,2.3,1.2 – 3.4
8,23,Colorado,"Total, 45 to 54 years",698,596,85.3,583,83.6,12,2.1,1.0 – 3.2
8,24,Colorado,"Total, 55 to 64 years",728,496,68.1,484,66.4,12,2.5,1.2 – 3.8
8,25,Colorado,"Total, 65 years and over",804,196,24.4,193,24,3,1.4,(2)-
8,28,Colorado,"Men, 25 to 34 years",458,429,93.7,418,91.3,11,2.6,1.2 – 4.0
8,29,Colorado,"Men, 35 to 44 years",379,358,94.7,352,93,6,1.8,0.5 – 3.1
8,30,Colorado,"Men, 45 to 54 years",348,313,90.2,308,88.7,5,1.7,0.3 – 3.1
8,31,Colorado,"Men, 55 to 64 years",359,268,74.7,262,73,6,2.3,0.6 – 4.0
8,35,Colorado,"Women, 25 to 34 years",416,344,82.7,337,80.9,7,2.1,0.7 – 3.5
8,36,Colorado,"Women, 35 to 44 years",380,293,77.1,284,74.9,9,2.9,1.1 – 4.7
8,37,Colorado,"Women, 45 to 54 years",350,282,80.6,275,78.5,7,2.6,0.8 – 4.4
8,38,Colorado,"Women, 55 to 64 years",369,228,61.7,221,60,6,2.8,0.7 – 4.9
8,41,Colorado,"White, 20 to 24 years",349,271,77.5,264,75.5,7,2.7,0.8 – 4.6
8,42,Colorado,"White, 25 to 34 years",754,675,89.5,659,87.3,17,2.4,1.3 – 3.5
8,43,Colorado,"White, 35 to 44 years",655,564,86.1,552,84.3,12,2.1,1.0 – 3.2
8,44,Colorado,"White, 45 to 54 years",635,544,85.6,534,84.1,10,1.8,0.8 – 2.8
8,45,Colorado,"White, 55 to 64 years",654,451,68.9,440,67.2,11,2.5,1.1 – 3.9
9,1,Connecticut,Total,"2,884","1,914",66.4,"1,841",63.8,73,3.8,3.1 – 4.5
9,2,Connecticut,Men,"1,390",990,71.3,949,68.3,41,4.2,3.2 – 5.2
9,3,Connecticut,Women,"1,494",923,61.8,892,59.7,31,3.4,2.5 – 4.3
9,4,Connecticut,White,"2,354","1,549",65.8,"1,496",63.5,53,3.5,2.8 – 4.2
9,5,Connecticut,"White, men","1,150",813,70.7,783,68.1,30,3.6,2.6 – 4.6
9,6,Connecticut,"White, women","1,204",736,61.2,713,59.2,24,3.2,2.2 – 4.2
9,7,Connecticut,Black or African American,323,216,66.7,200,61.9,16,7.3,4.3 – 10.3
9,8,Connecticut,"Black or African American, men",147,105,71.6,94,64.3,11,10.2,5.0 – 15.4
9,9,Connecticut,"Black or African American, women",177,111,62.6,106,59.8,5,4.4,1.1 – 7.7
9,10,Connecticut,Asian,141,102,72.2,101,71.3,1,1.2,(2)-
9,13,Connecticut,Hispanic or Latino ethnicity,433,285,65.8,269,62.1,16,5.5,3.4 – 7.6
9,14,Connecticut,"Hispanic or Latino ethnicity, men",210,153,72.9,144,68.6,9,5.9,2.9 – 8.9
9,15,Connecticut,"Hispanic or Latino ethnicity, women",223,131,59,125,56,7,5.1,2.1 – 8.1
9,16,Connecticut,"Married men, spouse present",735,553,75.2,540,73.5,12,2.3,1.3 – 3.3
9,17,Connecticut,"Married women, spouse present",699,459,65.7,451,64.5,9,1.9,0.9 – 2.9
9,18,Connecticut,Women who maintain families,158,115,72.4,112,70.8,3,2.2,0.1 – 4.3
9,20,Connecticut,"Total, 20 to 24 years",203,149,73.1,136,66.8,13,8.7,5.0 – 12.4
9,21,Connecticut,"Total, 25 to 34 years",462,401,86.8,394,85.2,8,1.9,0.8 – 3.0
