Detail,Week_Ending_Date,Value,Measure,Class,Week,Source,Flu_Season
B,1/4/2003 12:00:00 AM,0,Region,Southwest,1,Labs,2002-03
B/Victoria,1/4/2003 12:00:00 AM,0,Region,Southwest,1,Labs,2002-03
B/Yamagata,1/4/2003 12:00:00 AM,0,Region,Southwest,1,Labs,2002-03
,1/4/2003 12:00:00 AM,0,,,1,Specimens,2002-03
A (H1),1/11/2003 12:00:00 AM,0,Region,Central,2,Labs,2002-03
A (H3),1/11/2003 12:00:00 AM,0,Region,Central,2,Labs,2002-03
A (Unk),1/11/2003 12:00:00 AM,0,Region,Central,2,Labs,2002-03
B,1/11/2003 12:00:00 AM,0,Region,Central,2,Labs,2002-03
B/Victoria,1/11/2003 12:00:00 AM,0,Region,Central,2,Labs,2002-03
B/Yamagata,1/11/2003 12:00:00 AM,0,Region,Central,2,Labs,2002-03
A (H1),1/11/2003 12:00:00 AM,0,Region,Eastern,2,Labs,2002-03
A (H3),1/11/2003 12:00:00 AM,0,Region,Eastern,2,Labs,2002-03
A (Unk),1/11/2003 12:00:00 AM,0,Region,Eastern,2,Labs,2002-03
B,1/11/2003 12:00:00 AM,0,Region,Eastern,2,Labs,2002-03
B/Victoria,1/11/2003 12:00:00 AM,0,Region,Eastern,2,Labs,2002-03
B/Yamagata,1/11/2003 12:00:00 AM,0,Region,Eastern,2,Labs,2002-03
A (H1),1/11/2003 12:00:00 AM,0,Region,Northern,2,Labs,2002-03
A (H3),1/11/2003 12:00:00 AM,0,Region,Northern,2,Labs,2002-03
A (Unk),1/11/2003 12:00:00 AM,0,Region,Northern,2,Labs,2002-03
B,1/11/2003 12:00:00 AM,0,Region,Northern,2,Labs,2002-03
B/Victoria,1/11/2003 12:00:00 AM,0,Region,Northern,2,Labs,2002-03
B/Yamagata,1/11/2003 12:00:00 AM,0,Region,Northern,2,Labs,2002-03
A (H1),1/11/2003 12:00:00 AM,0,Region,Northwest,2,Labs,2002-03
A (H3),1/11/2003 12:00:00 AM,0,Region,Northwest,2,Labs,2002-03
A (Unk),1/11/2003 12:00:00 AM,0,Region,Northwest,2,Labs,2002-03
B,1/11/2003 12:00:00 AM,0,Region,Northwest,2,Labs,2002-03
B/Victoria,1/11/2003 12:00:00 AM,0,Region,Northwest,2,Labs,2002-03
B/Yamagata,1/11/2003 12:00:00 AM,0,Region,Northwest,2,Labs,2002-03
A (H1),1/11/2003 12:00:00 AM,0,Region,Southwest,2,Labs,2002-03
A (H3),1/11/2003 12:00:00 AM,0,Region,Southwest,2,Labs,2002-03
A (Unk),1/11/2003 12:00:00 AM,0,Region,Southwest,2,Labs,2002-03
B,1/11/2003 12:00:00 AM,0,Region,Southwest,2,Labs,2002-03
B/Victoria,1/11/2003 12:00:00 AM,0,Region,Southwest,2,Labs,2002-03
B/Yamagata,1/11/2003 12:00:00 AM,0,Region,Southwest,2,Labs,2002-03
,1/11/2003 12:00:00 AM,0,,,2,Specimens,2002-03
A (H1),1/18/2003 12:00:00 AM,0,Region,Central,3,Labs,2002-03
A (H3),1/18/2003 12:00:00 AM,0,Region,Central,3,Labs,2002-03
A (Unk),1/18/2003 12:00:00 AM,0,Region,Central,3,Labs,2002-03
B,1/18/2003 12:00:00 AM,0,Region,Central,3,Labs,2002-03
B/Victoria,1/18/2003 12:00:00 AM,0,Region,Central,3,Labs,2002-03
B/Yamagata,1/18/2003 12:00:00 AM,0,Region,Central,3,Labs,2002-03
A (H1),1/18/2003 12:00:00 AM,0,Region,Eastern,3,Labs,2002-03
A (H3),1/18/2003 12:00:00 AM,0,Region,Eastern,3,Labs,2002-03
A (Unk),1/18/2003 12:00:00 AM,0,Region,Eastern,3,Labs,2002-03
B,1/18/2003 12:00:00 AM,0,Region,Eastern,3,Labs,2002-03
B/Victoria,1/18/2003 12:00:00 AM,0,Region,Eastern,3,Labs,2002-03
B/Yamagata,1/18/2003 12:00:00 AM,0,Region,Eastern,3,Labs,2002-03
A (H1),1/18/2003 12:00:00 AM,0,Region,Northern,3,Labs,2002-03
A (H3),1/18/2003 12:00:00 AM,0,Region,Northern,3,Labs,2002-03
A (Unk),1/18/2003 12:00:00 AM,0,Region,Northern,3,Labs,2002-03
B,1/18/2003 12:00:00 AM,0,Region,Northern,3,Labs,2002-03
B/Victoria,1/18/2003 12:00:00 AM,0,Region,Northern,3,Labs,2002-03
B/Yamagata,1/18/2003 12:00:00 AM,0,Region,Northern,3,Labs,2002-03
A (H1),1/18/2003 12:00:00 AM,0,Region,Northwest,3,Labs,2002-03
A (H3),1/18/2003 12:00:00 AM,0,Region,Northwest,3,Labs,2002-03
A (Unk),1/18/2003 12:00:00 AM,0,Region,Northwest,3,Labs,2002-03
B,1/18/2003 12:00:00 AM,0,Region,Northwest,3,Labs,2002-03
B/Victoria,1/18/2003 12:00:00 AM,0,Region,Northwest,3,Labs,2002-03
B/Yamagata,1/18/2003 12:00:00 AM,0,Region,Northwest,3,Labs,2002-03
A (H1),1/18/2003 12:00:00 AM,0,Region,Southwest,3,Labs,2002-03
A (H3),1/18/2003 12:00:00 AM,0,Region,Southwest,3,Labs,2002-03
A (Unk),1/18/2003 12:00:00 AM,0,Region,Southwest,3,Labs,2002-03
B,1/18/2003 12:00:00 AM,0,Region,Southwest,3,Labs,2002-03
B/Victoria,1/18/2003 12:00:00 AM,0,Region,Southwest,3,Labs,2002-03
B/Yamagata,1/18/2003 12:00:00 AM,0,Region,Southwest,3,Labs,2002-03
,1/18/2003 12:00:00 AM,0,,,3,Specimens,2002-03
A (H1),1/25/2003 12:00:00 AM,0,Region,Central,4,Labs,2002-03
A (H3),1/25/2003 12:00:00 AM,0,Region,Central,4,Labs,2002-03
A (Unk),1/25/2003 12:00:00 AM,0,Region,Central,4,Labs,2002-03
B,1/25/2003 12:00:00 AM,0,Region,Central,4,Labs,2002-03
B/Victoria,1/25/2003 12:00:00 AM,0,Region,Central,4,Labs,2002-03
B/Yamagata,1/25/2003 12:00:00 AM,0,Region,Central,4,Labs,2002-03
A (H1),1/25/2003 12:00:00 AM,0,Region,Eastern,4,Labs,2002-03
A (H3),1/25/2003 12:00:00 AM,0,Region,Eastern,4,Labs,2002-03
A (Unk),1/25/2003 12:00:00 AM,0,Region,Eastern,4,Labs,2002-03
B,1/25/2003 12:00:00 AM,0,Region,Eastern,4,Labs,2002-03
B/Victoria,1/25/2003 12:00:00 AM,0,Region,Eastern,4,Labs,2002-03
B/Yamagata,1/25/2003 12:00:00 AM,0,Region,Eastern,4,Labs,2002-03
A (H1),1/25/2003 12:00:00 AM,0,Region,Northern,4,Labs,2002-03
A (H3),1/25/2003 12:00:00 AM,0,Region,Northern,4,Labs,2002-03
A (Unk),1/25/2003 12:00:00 AM,0,Region,Northern,4,Labs,2002-03
B,1/25/2003 12:00:00 AM,0,Region,Northern,4,Labs,2002-03
B/Victoria,1/25/2003 12:00:00 AM,0,Region,Northern,4,Labs,2002-03
B/Yamagata,1/25/2003 12:00:00 AM,0,Region,Northern,4,Labs,2002-03
A (H1),1/25/2003 12:00:00 AM,0,Region,Northwest,4,Labs,2002-03
A (H3),1/25/2003 12:00:00 AM,0,Region,Northwest,4,Labs,2002-03
A (Unk),1/25/2003 12:00:00 AM,0,Region,Northwest,4,Labs,2002-03
B,1/25/2003 12:00:00 AM,0,Region,Northwest,4,Labs,2002-03
B/Victoria,1/25/2003 12:00:00 AM,0,Region,Northwest,4,Labs,2002-03
B/Yamagata,1/25/2003 12:00:00 AM,0,Region,Northwest,4,Labs,2002-03
A (H1),1/25/2003 12:00:00 AM,0,Region,Southwest,4,Labs,2002-03
A (H3),1/25/2003 12:00:00 AM,0,Region,Southwest,4,Labs,2002-03
A (Unk),1/25/2003 12:00:00 AM,0,Region,Southwest,4,Labs,2002-03
B,1/25/2003 12:00:00 AM,0,Region,Southwest,4,Labs,2002-03
B/Victoria,1/25/2003 12:00:00 AM,0,Region,Southwest,4,Labs,2002-03
B/Yamagata,1/25/2003 12:00:00 AM,0,Region,Southwest,4,Labs,2002-03
,1/25/2003 12:00:00 AM,0,,,4,Specimens,2002-03
A (H1),2/1/2003 12:00:00 AM,0,Region,Central,5,Labs,2002-03
A (H3),2/1/2003 12:00:00 AM,0,Region,Central,5,Labs,2002-03
A (Unk),2/1/2003 12:00:00 AM,0,Region,Central,5,Labs,2002-03
B,2/1/2003 12:00:00 AM,0,Region,Central,5,Labs,2002-03
B/Victoria,2/1/2003 12:00:00 AM,0,Region,Central,5,Labs,2002-03
B/Yamagata,2/1/2003 12:00:00 AM,0,Region,Central,5,Labs,2002-03
A (H1),2/1/2003 12:00:00 AM,0,Region,Eastern,5,Labs,2002-03
A (H3),2/1/2003 12:00:00 AM,0,Region,Eastern,5,Labs,2002-03
A (Unk),2/1/2003 12:00:00 AM,0,Region,Eastern,5,Labs,2002-03
B,2/1/2003 12:00:00 AM,0,Region,Eastern,5,Labs,2002-03
B/Victoria,2/1/2003 12:00:00 AM,0,Region,Eastern,5,Labs,2002-03
B/Yamagata,2/1/2003 12:00:00 AM,0,Region,Eastern,5,Labs,2002-03
A (H1),2/1/2003 12:00:00 AM,0,Region,Northern,5,Labs,2002-03
A (H3),2/1/2003 12:00:00 AM,0,Region,Northern,5,Labs,2002-03
A (Unk),2/1/2003 12:00:00 AM,0,Region,Northern,5,Labs,2002-03
B,2/1/2003 12:00:00 AM,0,Region,Northern,5,Labs,2002-03
B/Victoria,2/1/2003 12:00:00 AM,0,Region,Northern,5,Labs,2002-03
B/Yamagata,2/1/2003 12:00:00 AM,0,Region,Northern,5,Labs,2002-03
A (H1),2/1/2003 12:00:00 AM,0,Region,Northwest,5,Labs,2002-03
A (H3),2/1/2003 12:00:00 AM,0,Region,Northwest,5,Labs,2002-03
A (Unk),2/1/2003 12:00:00 AM,0,Region,Northwest,5,Labs,2002-03
B,2/1/2003 12:00:00 AM,0,Region,Northwest,5,Labs,2002-03
B/Victoria,2/1/2003 12:00:00 AM,0,Region,Northwest,5,Labs,2002-03
B/Yamagata,2/1/2003 12:00:00 AM,0,Region,Northwest,5,Labs,2002-03
A (H1),2/1/2003 12:00:00 AM,0,Region,Southwest,5,Labs,2002-03
A (H3),2/1/2003 12:00:00 AM,0,Region,Southwest,5,Labs,2002-03
A (Unk),2/1/2003 12:00:00 AM,0,Region,Southwest,5,Labs,2002-03
B,2/1/2003 12:00:00 AM,0,Region,Southwest,5,Labs,2002-03
B/Victoria,2/1/2003 12:00:00 AM,0,Region,Southwest,5,Labs,2002-03
B/Yamagata,2/1/2003 12:00:00 AM,0,Region,Southwest,5,Labs,2002-03
,2/1/2003 12:00:00 AM,0,,,5,Specimens,2002-03
A (H1),2/8/2003 12:00:00 AM,0,Region,Central,6,Labs,2002-03
A (H3),2/8/2003 12:00:00 AM,0,Region,Central,6,Labs,2002-03
A (Unk),2/8/2003 12:00:00 AM,0,Region,Central,6,Labs,2002-03
B,2/8/2003 12:00:00 AM,0,Region,Central,6,Labs,2002-03
B/Victoria,2/8/2003 12:00:00 AM,0,Region,Central,6,Labs,2002-03
B/Yamagata,2/8/2003 12:00:00 AM,0,Region,Central,6,Labs,2002-03
A (H1),2/8/2003 12:00:00 AM,0,Region,Eastern,6,Labs,2002-03
A (H3),2/8/2003 12:00:00 AM,0,Region,Eastern,6,Labs,2002-03
A (Unk),2/8/2003 12:00:00 AM,0,Region,Eastern,6,Labs,2002-03
B,2/8/2003 12:00:00 AM,0,Region,Eastern,6,Labs,2002-03
B/Victoria,2/8/2003 12:00:00 AM,0,Region,Eastern,6,Labs,2002-03
B/Yamagata,2/8/2003 12:00:00 AM,0,Region,Eastern,6,Labs,2002-03
A (H1),2/8/2003 12:00:00 AM,0,Region,Northern,6,Labs,2002-03
A (H3),2/8/2003 12:00:00 AM,0,Region,Northern,6,Labs,2002-03
A (Unk),2/8/2003 12:00:00 AM,0,Region,Northern,6,Labs,2002-03
B,2/8/2003 12:00:00 AM,0,Region,Northern,6,Labs,2002-03
B/Victoria,2/8/2003 12:00:00 AM,0,Region,Northern,6,Labs,2002-03
B/Yamagata,2/8/2003 12:00:00 AM,0,Region,Northern,6,Labs,2002-03
A (H1),2/8/2003 12:00:00 AM,0,Region,Northwest,6,Labs,2002-03
A (H3),2/8/2003 12:00:00 AM,0,Region,Northwest,6,Labs,2002-03
A (Unk),2/8/2003 12:00:00 AM,0,Region,Northwest,6,Labs,2002-03
B,2/8/2003 12:00:00 AM,0,Region,Northwest,6,Labs,2002-03
B/Victoria,2/8/2003 12:00:00 AM,0,Region,Northwest,6,Labs,2002-03
B/Yamagata,2/8/2003 12:00:00 AM,0,Region,Northwest,6,Labs,2002-03
A (H1),2/8/2003 12:00:00 AM,0,Region,Southwest,6,Labs,2002-03
A (H3),2/8/2003 12:00:00 AM,0,Region,Southwest,6,Labs,2002-03
A (Unk),2/8/2003 12:00:00 AM,0,Region,Southwest,6,Labs,2002-03
B,2/8/2003 12:00:00 AM,0,Region,Southwest,6,Labs,2002-03
B/Victoria,2/8/2003 12:00:00 AM,0,Region,Southwest,6,Labs,2002-03
B/Yamagata,2/8/2003 12:00:00 AM,0,Region,Southwest,6,Labs,2002-03
,2/8/2003 12:00:00 AM,0,,,6,Specimens,2002-03
A (H1),2/15/2003 12:00:00 AM,0,Region,Central,7,Labs,2002-03
A (H3),2/15/2003 12:00:00 AM,0,Region,Central,7,Labs,2002-03
A (Unk),2/15/2003 12:00:00 AM,0,Region,Central,7,Labs,2002-03
B,2/15/2003 12:00:00 AM,0,Region,Central,7,Labs,2002-03
B/Victoria,2/15/2003 12:00:00 AM,0,Region,Central,7,Labs,2002-03
B/Yamagata,2/15/2003 12:00:00 AM,0,Region,Central,7,Labs,2002-03
A (H1),2/15/2003 12:00:00 AM,0,Region,Eastern,7,Labs,2002-03
A (H3),2/15/2003 12:00:00 AM,0,Region,Eastern,7,Labs,2002-03
A (Unk),2/15/2003 12:00:00 AM,0,Region,Eastern,7,Labs,2002-03
B,2/15/2003 12:00:00 AM,0,Region,Eastern,7,Labs,2002-03
B/Victoria,2/15/2003 12:00:00 AM,0,Region,Eastern,7,Labs,2002-03
B/Yamagata,2/15/2003 12:00:00 AM,0,Region,Eastern,7,Labs,2002-03
A (H1),2/15/2003 12:00:00 AM,0,Region,Northern,7,Labs,2002-03
A (H3),2/15/2003 12:00:00 AM,0,Region,Northern,7,Labs,2002-03
A (Unk),2/15/2003 12:00:00 AM,0,Region,Northern,7,Labs,2002-03
B,2/15/2003 12:00:00 AM,0,Region,Northern,7,Labs,2002-03
B/Victoria,2/15/2003 12:00:00 AM,0,Region,Northern,7,Labs,2002-03
B/Yamagata,2/15/2003 12:00:00 AM,0,Region,Northern,7,Labs,2002-03
A (H1),2/15/2003 12:00:00 AM,0,Region,Northwest,7,Labs,2002-03
A (H3),2/15/2003 12:00:00 AM,0,Region,Northwest,7,Labs,2002-03
A (Unk),2/15/2003 12:00:00 AM,0,Region,Northwest,7,Labs,2002-03
B,2/15/2003 12:00:00 AM,0,Region,Northwest,7,Labs,2002-03
B/Victoria,2/15/2003 12:00:00 AM,0,Region,Northwest,7,Labs,2002-03
B/Yamagata,2/15/2003 12:00:00 AM,0,Region,Northwest,7,Labs,2002-03
A (H1),2/15/2003 12:00:00 AM,0,Region,Southwest,7,Labs,2002-03
A (H3),2/15/2003 12:00:00 AM,0,Region,Southwest,7,Labs,2002-03
A (Unk),2/15/2003 12:00:00 AM,0,Region,Southwest,7,Labs,2002-03
B,2/15/2003 12:00:00 AM,0,Region,Southwest,7,Labs,2002-03
B/Victoria,2/15/2003 12:00:00 AM,0,Region,Southwest,7,Labs,2002-03
B/Yamagata,2/15/2003 12:00:00 AM,0,Region,Southwest,7,Labs,2002-03
,2/15/2003 12:00:00 AM,0,,,7,Specimens,2002-03
A (H1),2/22/2003 12:00:00 AM,0,Region,Central,8,Labs,2002-03
A (H3),2/22/2003 12:00:00 AM,0,Region,Central,8,Labs,2002-03
A (Unk),2/22/2003 12:00:00 AM,0,Region,Central,8,Labs,2002-03
B,2/22/2003 12:00:00 AM,0,Region,Central,8,Labs,2002-03
B/Victoria,2/22/2003 12:00:00 AM,0,Region,Central,8,Labs,2002-03
B/Yamagata,2/22/2003 12:00:00 AM,0,Region,Central,8,Labs,2002-03
A (H1),2/22/2003 12:00:00 AM,0,Region,Eastern,8,Labs,2002-03
A (H3),2/22/2003 12:00:00 AM,0,Region,Eastern,8,Labs,2002-03
A (Unk),2/22/2003 12:00:00 AM,0,Region,Eastern,8,Labs,2002-03
B,2/22/2003 12:00:00 AM,0,Region,Eastern,8,Labs,2002-03
B/Victoria,2/22/2003 12:00:00 AM,0,Region,Eastern,8,Labs,2002-03
B/Yamagata,2/22/2003 12:00:00 AM,0,Region,Eastern,8,Labs,2002-03
A (H1),2/22/2003 12:00:00 AM,0,Region,Northern,8,Labs,2002-03
A (H3),2/22/2003 12:00:00 AM,0,Region,Northern,8,Labs,2002-03
A (Unk),2/22/2003 12:00:00 AM,0,Region,Northern,8,Labs,2002-03
B,2/22/2003 12:00:00 AM,0,Region,Northern,8,Labs,2002-03
B/Victoria,2/22/2003 12:00:00 AM,0,Region,Northern,8,Labs,2002-03
B/Yamagata,2/22/2003 12:00:00 AM,0,Region,Northern,8,Labs,2002-03
A (H1),2/22/2003 12:00:00 AM,0,Region,Northwest,8,Labs,2002-03
A (H3),2/22/2003 12:00:00 AM,0,Region,Northwest,8,Labs,2002-03
A (Unk),2/22/2003 12:00:00 AM,0,Region,Northwest,8,Labs,2002-03
B,2/22/2003 12:00:00 AM,0,Region,Northwest,8,Labs,2002-03
B/Victoria,2/22/2003 12:00:00 AM,0,Region,Northwest,8,Labs,2002-03
B/Yamagata,2/22/2003 12:00:00 AM,0,Region,Northwest,8,Labs,2002-03
A (H1),2/22/2003 12:00:00 AM,0,Region,Southwest,8,Labs,2002-03
A (H3),2/22/2003 12:00:00 AM,0,Region,Southwest,8,Labs,2002-03
A (Unk),2/22/2003 12:00:00 AM,0,Region,Southwest,8,Labs,2002-03
B,2/22/2003 12:00:00 AM,0,Region,Southwest,8,Labs,2002-03
B/Victoria,2/22/2003 12:00:00 AM,0,Region,Southwest,8,Labs,2002-03
B/Yamagata,2/22/2003 12:00:00 AM,0,Region,Southwest,8,Labs,2002-03
,2/22/2003 12:00:00 AM,0,,,8,Specimens,2002-03
A (H1),3/1/2003 12:00:00 AM,0,Region,Central,9,Labs,2002-03
A (H3),3/1/2003 12:00:00 AM,0,Region,Central,9,Labs,2002-03
A (Unk),3/1/2003 12:00:00 AM,0,Region,Central,9,Labs,2002-03
B,3/1/2003 12:00:00 AM,0,Region,Central,9,Labs,2002-03
B/Victoria,3/1/2003 12:00:00 AM,0,Region,Central,9,Labs,2002-03
B/Yamagata,3/1/2003 12:00:00 AM,0,Region,Central,9,Labs,2002-03
A (H1),3/1/2003 12:00:00 AM,0,Region,Eastern,9,Labs,2002-03
A (H3),3/1/2003 12:00:00 AM,0,Region,Eastern,9,Labs,2002-03
A (Unk),3/1/2003 12:00:00 AM,0,Region,Eastern,9,Labs,2002-03
B,3/1/2003 12:00:00 AM,0,Region,Eastern,9,Labs,2002-03
B/Victoria,3/1/2003 12:00:00 AM,0,Region,Eastern,9,Labs,2002-03
B/Yamagata,3/1/2003 12:00:00 AM,0,Region,Eastern,9,Labs,2002-03
A (H1),3/1/2003 12:00:00 AM,0,Region,Northern,9,Labs,2002-03
A (H3),3/1/2003 12:00:00 AM,0,Region,Northern,9,Labs,2002-03
A (Unk),3/1/2003 12:00:00 AM,0,Region,Northern,9,Labs,2002-03
B,3/1/2003 12:00:00 AM,0,Region,Northern,9,Labs,2002-03
B/Victoria,3/1/2003 12:00:00 AM,0,Region,Northern,9,Labs,2002-03
B/Yamagata,3/1/2003 12:00:00 AM,0,Region,Northern,9,Labs,2002-03
A (H1),3/1/2003 12:00:00 AM,0,Region,Northwest,9,Labs,2002-03
A (H3),3/1/2003 12:00:00 AM,0,Region,Northwest,9,Labs,2002-03
A (Unk),3/1/2003 12:00:00 AM,0,Region,Northwest,9,Labs,2002-03
B,3/1/2003 12:00:00 AM,0,Region,Northwest,9,Labs,2002-03
B/Victoria,3/1/2003 12:00:00 AM,0,Region,Northwest,9,Labs,2002-03
B/Yamagata,3/1/2003 12:00:00 AM,0,Region,Northwest,9,Labs,2002-03
A (H1),3/1/2003 12:00:00 AM,0,Region,Southwest,9,Labs,2002-03
A (H3),3/1/2003 12:00:00 AM,0,Region,Southwest,9,Labs,2002-03
A (Unk),3/1/2003 12:00:00 AM,0,Region,Southwest,9,Labs,2002-03
B,3/1/2003 12:00:00 AM,0,Region,Southwest,9,Labs,2002-03
B/Victoria,3/1/2003 12:00:00 AM,0,Region,Southwest,9,Labs,2002-03
B/Yamagata,3/1/2003 12:00:00 AM,0,Region,Southwest,9,Labs,2002-03
,3/1/2003 12:00:00 AM,0,,,9,Specimens,2002-03
A (H1),3/8/2003 12:00:00 AM,0,Region,Central,10,Labs,2002-03
A (H3),3/8/2003 12:00:00 AM,0,Region,Central,10,Labs,2002-03
A (Unk),3/8/2003 12:00:00 AM,0,Region,Central,10,Labs,2002-03
B,3/8/2003 12:00:00 AM,0,Region,Central,10,Labs,2002-03
B/Victoria,3/8/2003 12:00:00 AM,0,Region,Central,10,Labs,2002-03
B/Yamagata,3/8/2003 12:00:00 AM,0,Region,Central,10,Labs,2002-03
A (H1),3/8/2003 12:00:00 AM,0,Region,Eastern,10,Labs,2002-03
A (H3),3/8/2003 12:00:00 AM,0,Region,Eastern,10,Labs,2002-03
A (Unk),3/8/2003 12:00:00 AM,0,Region,Eastern,10,Labs,2002-03
B,3/8/2003 12:00:00 AM,0,Region,Eastern,10,Labs,2002-03
B/Victoria,3/8/2003 12:00:00 AM,0,Region,Eastern,10,Labs,2002-03
B/Yamagata,3/8/2003 12:00:00 AM,0,Region,Eastern,10,Labs,2002-03
A (H1),3/8/2003 12:00:00 AM,0,Region,Northern,10,Labs,2002-03
A (H3),3/8/2003 12:00:00 AM,0,Region,Northern,10,Labs,2002-03
A (Unk),3/8/2003 12:00:00 AM,0,Region,Northern,10,Labs,2002-03
B,3/8/2003 12:00:00 AM,0,Region,Northern,10,Labs,2002-03
B/Victoria,3/8/2003 12:00:00 AM,0,Region,Northern,10,Labs,2002-03
B/Yamagata,3/8/2003 12:00:00 AM,0,Region,Northern,10,Labs,2002-03
A (H1),3/8/2003 12:00:00 AM,0,Region,Northwest,10,Labs,2002-03
A (H3),3/8/2003 12:00:00 AM,0,Region,Northwest,10,Labs,2002-03
A (Unk),3/8/2003 12:00:00 AM,0,Region,Northwest,10,Labs,2002-03
B,3/8/2003 12:00:00 AM,0,Region,Northwest,10,Labs,2002-03
B/Victoria,3/8/2003 12:00:00 AM,0,Region,Northwest,10,Labs,2002-03
B/Yamagata,3/8/2003 12:00:00 AM,0,Region,Northwest,10,Labs,2002-03
A (H1),3/8/2003 12:00:00 AM,0,Region,Southwest,10,Labs,2002-03
A (H3),3/8/2003 12:00:00 AM,0,Region,Southwest,10,Labs,2002-03
A (Unk),3/8/2003 12:00:00 AM,0,Region,Southwest,10,Labs,2002-03
B,3/8/2003 12:00:00 AM,0,Region,Southwest,10,Labs,2002-03
B/Victoria,3/8/2003 12:00:00 AM,0,Region,Southwest,10,Labs,2002-03
B/Yamagata,3/8/2003 12:00:00 AM,0,Region,Southwest,10,Labs,2002-03
,3/8/2003 12:00:00 AM,0,,,10,Specimens,2002-03
A (H1),3/15/2003 12:00:00 AM,0,Region,Central,11,Labs,2002-03
A (H3),3/15/2003 12:00:00 AM,0,Region,Central,11,Labs,2002-03
A (Unk),3/15/2003 12:00:00 AM,0,Region,Central,11,Labs,2002-03
B,3/15/2003 12:00:00 AM,0,Region,Central,11,Labs,2002-03
B/Victoria,3/15/2003 12:00:00 AM,0,Region,Central,11,Labs,2002-03
B/Yamagata,3/15/2003 12:00:00 AM,0,Region,Central,11,Labs,2002-03
A (H1),3/15/2003 12:00:00 AM,0,Region,Eastern,11,Labs,2002-03
A (H3),3/15/2003 12:00:00 AM,0,Region,Eastern,11,Labs,2002-03
A (Unk),3/15/2003 12:00:00 AM,0,Region,Eastern,11,Labs,2002-03
B,3/15/2003 12:00:00 AM,0,Region,Eastern,11,Labs,2002-03
B/Victoria,3/15/2003 12:00:00 AM,0,Region,Eastern,11,Labs,2002-03
B/Yamagata,3/15/2003 12:00:00 AM,0,Region,Eastern,11,Labs,2002-03
A (H1),3/15/2003 12:00:00 AM,0,Region,Northern,11,Labs,2002-03
A (H3),3/15/2003 12:00:00 AM,0,Region,Northern,11,Labs,2002-03
A (Unk),3/15/2003 12:00:00 AM,0,Region,Northern,11,Labs,2002-03
B,3/15/2003 12:00:00 AM,0,Region,Northern,11,Labs,2002-03
B/Victoria,3/15/2003 12:00:00 AM,0,Region,Northern,11,Labs,2002-03
B/Yamagata,3/15/2003 12:00:00 AM,0,Region,Northern,11,Labs,2002-03
A (H1),3/15/2003 12:00:00 AM,0,Region,Northwest,11,Labs,2002-03
A (H3),3/15/2003 12:00:00 AM,0,Region,Northwest,11,Labs,2002-03
A (Unk),3/15/2003 12:00:00 AM,0,Region,Northwest,11,Labs,2002-03
B,3/15/2003 12:00:00 AM,0,Region,Northwest,11,Labs,2002-03
B/Victoria,3/15/2003 12:00:00 AM,0,Region,Northwest,11,Labs,2002-03
B/Yamagata,3/15/2003 12:00:00 AM,0,Region,Northwest,11,Labs,2002-03
