"State 
FIPS 
code","Group 
code",State,Population group,Civilian non-institutional population,Civilian labor force total,Civilian labor force percent,Employed total,Employed Percent of population,Unemployed total,Rate,Error range of rate(1),,
01,27,Alabama,"Men, 20 to 24 years",161    ,127    ,78.7    ,98    ,61.1    ,28    ,22.4    ,18.1 – 26.7,,
01,28,Alabama,"Men, 25 to 34 years",282    ,238    ,84.3    ,211    ,74.8    ,27    ,11.3    ,8.6 – 14,,
01,29,Alabama,"Men, 35 to 44 years",292    ,251    ,85.8    ,230    ,78.6    ,21    ,8.3    ,5.9 – 10.7,,
01,30,Alabama,"Men, 45 to 54 years",306    ,255    ,83.2    ,234    ,76.3    ,21    ,8.4    ,6 – 10.8,,
01,31,Alabama,"Men, 55 to 64 years",257    ,167    ,65.2    ,160    ,62.3    ,7    ,4.4    ,2.2 – 6.6,,
01,32,Alabama,"Men, 65 years and over",287    ,46    ,16.0    ,41    ,14.3    ,5    ,10.7    ,4.6 – 16.8,,
01,33,Alabama,"Women, 16 to 19 years",126    ,44    ,35.1    ,33    ,26.3    ,11    ,25.1    ,17.9 – 32.3,,
01,34,Alabama,"Women, 20 to 24 years",177    ,118    ,67.0    ,97    ,55.1    ,21    ,17.8    ,13.5 – 22.1,,
01,35,Alabama,"Women, 25 to 34 years",287    ,205    ,71.5    ,175    ,61.0    ,30    ,14.6    ,11.4 – 17.8,,
01,36,Alabama,"Women, 35 to 44 years",315    ,223    ,70.7    ,199    ,63.2    ,24    ,10.5    ,7.8 – 13.2,,
01,37,Alabama,"Women, 45 to 54 years",339    ,229    ,67.5    ,215    ,63.3    ,14    ,6.2    ,4 – 8.4,,
01,38,Alabama,"Women, 55 to 64 years",282    ,142    ,50.5    ,131    ,46.6    ,11    ,7.7    ,4.6 – 10.8,,
01,39,Alabama,"Women, 65 years and over",383    ,52    ,13.5    ,49    ,12.7    ,3    ,6.0    ,1.5 – 10.5,,
01,40,Alabama,"White, 16 to 19 years",172    ,64    ,37.3    ,51    ,29.9    ,13    ,19.9    ,13.9 – 25.9,,
01,41,Alabama,"White, 20 to 24 years",228    ,165    ,72.5    ,139    ,61.1    ,26    ,15.7    ,12.1 – 19.3,,
01,42,Alabama,"White, 25 to 34 years",395    ,308    ,78.0    ,279    ,70.6    ,29    ,9.5    ,7.3 – 11.7,,
01,43,Alabama,"White, 35 to 44 years",434    ,343    ,79.1    ,314    ,72.5    ,29    ,8.3    ,6.3 – 10.3,,
01,44,Alabama,"White, 45 to 54 years",476    ,367    ,77.0    ,344    ,72.3    ,22    ,6.1    ,4.4 – 7.8,,
01,45,Alabama,"White, 55 to 64 years",410    ,241    ,58.9    ,231    ,56.4    ,10    ,4.2    ,2.4 – 6,,
01,46,Alabama,"White, 65 years and over",529    ,85    ,16.1    ,79    ,14.9    ,6    ,7.4    ,3.5 – 11.3,,
01,47,Alabama,"Black or African American, 16 to 19 years",81    ,32    ,39.4    ,18    ,21.8    ,14    ,44.8    ,( 2 ) – ( 2 ),,
01,48,Alabama,"Black or African American, 20 to 24 years",102    ,73    ,72.1    ,50    ,49.0    ,24    ,32.1    ,( 2 ) – ( 2 ),,
01,49,Alabama,"Black or African American, 25 to 34 years",159    ,122    ,76.3    ,95    ,59.6    ,27    ,21.9    ,18.5 – 25.3,,
01,50,Alabama,"Black or African American, 35 to 44 years",151    ,114    ,75.4    ,99    ,65.5    ,15    ,13.2    ,8.6 – 17.8,,
01,51,Alabama,"Black or African American, 45 to 54 years",152    ,105    ,69.1    ,92    ,60.6    ,13    ,12.3    ,7.5 – 17.1,,
01,52,Alabama,"Black or African American, 55 to 64 years",119    ,65    ,54.8    ,58    ,48.7    ,7    ,11.1    ,5.2 – 17,,
01,63,Alabama,"Hispanic or Latino ethnicity, 25 to 34 years",38    ,33    ,86.8    ,30    ,79.7    ,3    ,8.2    ,3 – 13.4,,
02,01,Alaska,Total,515    ,362    ,70.3    ,333    ,64.7    ,29    ,7.9    ,6.7 – 9.1,,
02,02,Alaska,Men,260    ,195    ,74.9    ,177    ,68.1    ,18    ,9.0    ,7.3 – 10.7,,
02,03,Alaska,Women,254    ,167    ,65.6    ,156    ,61.2    ,11    ,6.7    ,5.1 – 8.3,,
02,04,Alaska,White,393    ,284    ,72.1    ,264    ,67.1    ,20    ,7.0    ,5.7 – 8.3,,
02,05,Alaska,"White, men",201    ,155    ,77.1    ,143    ,71.0    ,12    ,7.8    ,6 – 9.6,,
02,06,Alaska,"White, women",192    ,128    ,66.9    ,121    ,62.9    ,8    ,6.1    ,4.4 – 7.8,,
02,07,Alaska,Black or African American,19    ,12    ,66.9    ,11    ,61.7    ,1    ,7.7    ,4.5 – 10.9,,
02,10,Alaska,Asian,30    ,20    ,65.6    ,19    ,62.2    ,1    ,5.1    ,2.9 – 7.3,,
02,13,Alaska,Hispanic or Latino ethnicity,20    ,15    ,74.1    ,14    ,68.5    ,1    ,7.5    ,1 – 14,,
02,16,Alaska,"Married men, spouse present",131    ,105    ,80.2    ,99    ,75.7    ,6    ,5.6    ,3.8 – 7.4,,
02,17,Alaska,"Married women, spouse present",134    ,90    ,67.3    ,86    ,63.9    ,5    ,5.0    ,3.1 – 6.9,,
02,18,Alaska,Women who maintain families,27    ,20    ,75.2    ,19    ,68.9    ,2    ,8.4    ,3.4 – 13.4,,
02,19,Alaska,"Total, 16 to 19 years",42    ,18    ,42.7    ,15    ,36.4    ,3    ,14.7    ,8 – 21.4,,
02,20,Alaska,"Total, 20 to 24 years",52    ,39    ,75.2    ,34    ,66.7    ,4    ,11.4    ,7.2 – 15.6,,
02,21,Alaska,"Total, 25 to 34 years",97    ,78    ,80.9    ,71    ,73.7    ,7    ,8.9    ,6.3 – 11.5,,
02,22,Alaska,"Total, 35 to 44 years",84    ,71    ,84.5    ,67    ,79.4    ,4    ,6.1    ,3.8 – 8.4,,
02,23,Alaska,"Total, 45 to 54 years",104    ,88    ,84.7    ,83    ,79.7    ,5    ,5.9    ,3.8 – 8,,
02,24,Alaska,"Total, 55 to 64 years",79    ,55    ,69.4    ,51    ,64.4    ,4    ,7.2    ,4.3 – 10.1,,
02,25,Alaska,"Total, 65 years and over",56    ,12    ,21.6    ,11    ,19.5    ,1    ,9.8    ,2.8 – 16.8,,
02,27,Alaska,"Men, 20 to 24 years",24    ,19    ,79.6    ,17    ,69.9    ,2    ,12.2    ,6.2 – 18.2,,
02,28,Alaska,"Men, 25 to 34 years",48    ,44    ,91.7    ,39    ,81.6    ,5    ,11.0    ,7.1 – 14.9,,
02,29,Alaska,"Men, 35 to 44 years",44    ,40    ,90.3    ,37    ,84.8    ,2    ,6.2    ,3 – 9.4,,
02,30,Alaska,"Men, 45 to 54 years",51    ,46    ,88.5    ,42    ,82.1    ,3    ,7.2    ,4.1 – 10.3,,
02,31,Alaska,"Men, 55 to 64 years",42    ,29    ,70.1    ,27    ,64.3    ,2    ,8.3    ,4.1 – 12.5,,
02,34,Alaska,"Women, 20 to 24 years",27    ,19    ,71.3    ,17    ,63.9    ,2    ,10.5    ,4.8 – 16.2,,
02,35,Alaska,"Women, 25 to 34 years",49    ,35    ,70.5    ,32    ,66.0    ,2    ,6.3    ,2.9 – 9.7,,
02,36,Alaska,"Women, 35 to 44 years",40    ,31    ,78.2    ,30    ,73.4    ,2    ,6.1    ,2.6 – 9.6,,
02,37,Alaska,"Women, 45 to 54 years",53    ,43    ,81.0    ,41    ,77.3    ,2    ,4.5    ,1.9 – 7.1,,
02,38,Alaska,"Women, 55 to 64 years",37    ,26    ,68.5    ,24    ,64.4    ,2    ,5.9    ,2.1 – 9.7,,
02,40,Alaska,"White, 16 to 19 years",27    ,13    ,47.3    ,12    ,42.1    ,1    ,10.9    ,3.9 – 17.9,,
02,41,Alaska,"White, 20 to 24 years",37    ,29    ,78.3    ,26    ,70.6    ,3    ,9.8    ,5.3 – 14.3,,
02,42,Alaska,"White, 25 to 34 years",71    ,59    ,82.4    ,54    ,76.2    ,4    ,7.6    ,4.8 – 10.4,,
02,43,Alaska,"White, 35 to 44 years",63    ,55    ,86.2    ,51    ,80.6    ,4    ,6.4    ,3.7 – 9.1,,
02,44,Alaska,"White, 45 to 54 years",84    ,73    ,86.3    ,69    ,81.8    ,4    ,5.2    ,3.1 – 7.3,,
02,45,Alaska,"White, 55 to 64 years",66    ,46    ,70.1    ,43    ,65.7    ,3    ,6.3    ,3.3 – 9.3,,
04,01,Arizona,Total,"4,951    ","3,152    ",63.7    ,"2,836    ",57.3    ,317    ,10.0    ,9.2 – 10.8,,
04,02,Arizona,Men,"2,436    ","1,738    ",71.3    ,"1,534    ",63.0    ,204    ,11.8    ,10.7 – 12.9,,
04,03,Arizona,Women,"2,514    ","1,414    ",56.2    ,"1,302    ",51.8    ,112    ,7.9    ,6.9 – 8.9,,
04,04,Arizona,White,"4,335    ","2,789    ",64.3    ,"2,529    ",58.3    ,260    ,9.3    ,8.5 – 10.1,,
04,05,Arizona,"White, men","2,142    ","1,556    ",72.7    ,"1,384    ",64.6    ,172    ,11.0    ,9.9 – 12.1,,
04,06,Arizona,"White, women","2,193    ","1,233    ",56.2    ,"1,145    ",52.2    ,88    ,7.1    ,6 – 8.2,,
04,07,Arizona,Black or African American,184    ,117    ,63.3    ,94    ,50.8    ,23    ,19.8    ,15 – 24.6,,
04,08,Arizona,"Black or African American, men",98    ,67    ,68.2    ,53    ,54.4    ,13    ,20.1    ,14 – 26.2,,
04,09,Arizona,"Black or African American, women",86    ,50    ,57.8    ,40    ,46.6    ,10    ,19.5    ,12.6 – 26.4,,
04,10,Arizona,Asian,112    ,74    ,65.7    ,67    ,59.5    ,7    ,9.5    ,5 – 14,,
04,11,Arizona,"Asian, men",59    ,41    ,69.4    ,37    ,62.2    ,4    ,10.3    ,4.1 – 16.5,,
04,12,Arizona,"Asian, women",53    ,33    ,61.6    ,30    ,56.4    ,3    ,8.5    ,2.1 – 14.9,,
04,13,Arizona,Hispanic or Latino ethnicity,"1,401    ",904    ,64.5    ,789    ,56.3    ,114    ,12.7    ,11.1 – 14.3,,
04,14,Arizona,"Hispanic or Latino ethnicity, men",710    ,550    ,77.4    ,472    ,66.4    ,78    ,14.2    ,12.2 – 16.2,,
04,15,Arizona,"Hispanic or Latino ethnicity, women",690    ,354    ,51.3    ,317    ,46.0    ,36    ,10.3    ,8 – 12.6,,
04,16,Arizona,"Married men, spouse present","1,271    ",946    ,74.4    ,874    ,68.8    ,72    ,7.6    ,6.4 – 8.8,,
04,17,Arizona,"Married women, spouse present","1,263    ",690    ,54.6    ,656    ,51.9    ,34    ,5.0    ,3.8 – 6.2,,
04,18,Arizona,Women who maintain families,290    ,204    ,70.2    ,182    ,62.6    ,22    ,10.8    ,7.8 – 13.8,,
04,19,Arizona,"Total, 16 to 19 years",350    ,116    ,33.0    ,80    ,22.8    ,36    ,31.1    ,26.8 – 35.4,,
04,20,Arizona,"Total, 20 to 24 years",433    ,319    ,73.5    ,269    ,62.0    ,50    ,15.6    ,12.9 – 18.3,,
04,21,Arizona,"Total, 25 to 34 years",877    ,699    ,79.7    ,636    ,72.5    ,63    ,9.1    ,7.6 – 10.6,,
04,22,Arizona,"Total, 35 to 44 years",874    ,688    ,78.7    ,625    ,71.4    ,63    ,9.2    ,7.6 – 10.8,,
04,23,Arizona,"Total, 45 to 54 years",911    ,730    ,80.0    ,663    ,72.8    ,66    ,9.1    ,7.6 – 10.6,,
04,24,Arizona,"Total, 55 to 64 years",743    ,473    ,63.7    ,445    ,59.9    ,28    ,5.9    ,4.3 – 7.5,,
04,25,Arizona,"Total, 65 years and over",761    ,128    ,16.8    ,118    ,15.4    ,10    ,8.0    ,4.6 – 11.4,,
04,26,Arizona,"Men, 16 to 19 years",174    ,66    ,38.1    ,43    ,24.9    ,23    ,34.7    ,29.7 – 39.7,,
04,27,Arizona,"Men, 20 to 24 years",238    ,182    ,76.3    ,152    ,63.8    ,30    ,16.4    ,12.8 – 20,,
04,28,Arizona,"Men, 25 to 34 years",452    ,410    ,90.7    ,363    ,80.2    ,47    ,11.5    ,9.3 – 13.7,,
04,29,Arizona,"Men, 35 to 44 years",431    ,384    ,89.1    ,346    ,80.2    ,38    ,10.0    ,7.9 – 12.1,,
04,30,Arizona,"Men, 45 to 54 years",437    ,373    ,85.3    ,330    ,75.4    ,43    ,11.6    ,9.3 – 13.9,,
04,31,Arizona,"Men, 55 to 64 years",352    ,251    ,71.3    ,235    ,66.7    ,16    ,6.5    ,4.3 – 8.7,,
04,32,Arizona,"Men, 65 years and over",352    ,72    ,20.5    ,66    ,18.7    ,7    ,9.1    ,4.4 – 13.8,,
04,33,Arizona,"Women, 16 to 19 years",176    ,49    ,28.0    ,36    ,20.7    ,13    ,26.2    ,19.3 – 33.1,,
04,34,Arizona,"Women, 20 to 24 years",195    ,137    ,70.1    ,117    ,59.9    ,20    ,14.5    ,10.5 – 18.5,,
04,35,Arizona,"Women, 25 to 34 years",425    ,290    ,68.1    ,273    ,64.3    ,16    ,5.6    ,3.6 – 7.6,,
04,36,Arizona,"Women, 35 to 44 years",443    ,304    ,68.5    ,279    ,62.9    ,25    ,8.2    ,6 – 10.4,,
04,37,Arizona,"Women, 45 to 54 years",474    ,357    ,75.2    ,334    ,70.4    ,23    ,6.4    ,4.5 – 8.3,,
04,38,Arizona,"Women, 55 to 64 years",391    ,222    ,56.9    ,210    ,53.8    ,12    ,5.3    ,3.1 – 7.5,,
04,39,Arizona,"Women, 65 years and over",409    ,56    ,13.6    ,52    ,12.7    ,4    ,6.5    ,1.8 – 11.2,,
04,40,Arizona,"White, 16 to 19 years",284    ,102    ,35.8    ,71    ,25.1    ,30    ,29.7    ,25 – 34.4,,
04,41,Arizona,"White, 20 to 24 years",372    ,285    ,76.6    ,247    ,66.3    ,39    ,13.5    ,10.8 – 16.2,,
04,42,Arizona,"White, 25 to 34 years",753    ,605    ,80.3    ,556    ,73.8    ,49    ,8.1    ,6.5 – 9.7,,
04,43,Arizona,"White, 35 to 44 years",762    ,602    ,79.0    ,548    ,71.9    ,54    ,9.0    ,7.3 – 10.7,,
04,44,Arizona,"White, 45 to 54 years",794    ,644    ,81.2    ,584    ,73.6    ,60    ,9.3    ,7.7 – 10.9,,
04,45,Arizona,"White, 55 to 64 years",674    ,429    ,63.7    ,408    ,60.6    ,21    ,4.8    ,3.3 – 6.3,,
04,46,Arizona,"White, 65 years and over",694    ,121    ,17.4    ,114    ,16.4    ,7    ,5.7    ,2.7 – 8.7,,
04,49,Arizona,"Black or African American, 25 to 34 years",42    ,35    ,84.0    ,29    ,69.7    ,6    ,17.0    ,9.2 – 24.8,,
04,50,Arizona,"Black or African American, 35 to 44 years",39    ,33    ,84.1    ,27    ,70.2    ,5    ,16.5    ,8.4 – 24.6,,
04,61,Arizona,"Hispanic or Latino ethnicity, 16 to 19 years",134    ,42    ,31.4    ,26    ,19.6    ,16    ,37.6    ,( 2 ) – ( 2 ),,
04,62,Arizona,"Hispanic or Latino ethnicity, 20 to 24 years",158    ,110    ,69.9    ,87    ,55.0    ,24    ,21.4    ,17.5 – 25.3,,
04,63,Arizona,"Hispanic or Latino ethnicity, 25 to 34 years",350    ,267    ,76.1    ,234    ,66.9    ,32    ,12.1    ,9.4 – 14.8,,
04,64,Arizona,"Hispanic or Latino ethnicity, 35 to 44 years",278    ,202    ,72.9    ,187    ,67.4    ,15    ,7.6    ,4.9 – 10.3,,
04,65,Arizona,"Hispanic or Latino ethnicity, 45 to 54 years",234    ,179    ,76.5    ,159    ,67.8    ,20    ,11.4    ,8.2 – 14.6,,
04,66,Arizona,"Hispanic or Latino ethnicity, 55 to 64 years",144    ,83    ,57.6    ,77    ,53.6    ,6    ,6.8    ,2.8 – 10.8,,
05,01,Arkansas,Total,"2,205    ","1,373    ",62.3    ,"1,266    ",57.4    ,107    ,7.8    ,6.9 – 8.7,,
05,02,Arkansas,Men,"1,058    ",731    ,69.1    ,671    ,63.4    ,60    ,8.2    ,7 – 9.4,,
05,03,Arkansas,Women,"1,147    ",642    ,55.9    ,595    ,51.8    ,47    ,7.3    ,6.1 – 8.5,,
05,04,Arkansas,White,"1,811    ","1,128    ",62.2    ,"1,054    ",58.2    ,74    ,6.6    ,5.7 – 7.5,,
05,05,Arkansas,"White, men",876    ,603    ,68.9    ,561    ,64.0    ,42    ,7.0    ,5.8 – 8.2,,
05,06,Arkansas,"White, women",935    ,524    ,56.1    ,493    ,52.7    ,32    ,6.0    ,4.8 – 7.2,,
05,07,Arkansas,Black or African American,317    ,193    ,61.1    ,166    ,52.4    ,28    ,14.2    ,11.4 – 17,,
05,08,Arkansas,"Black or African American, men",140    ,94    ,66.7    ,80    ,56.7    ,14    ,15.0    ,12.5 – 17.5,,
05,09,Arkansas,"Black or African American, women",177    ,100    ,56.6    ,86    ,48.9    ,14    ,13.5    ,10.7 – 16.3,,
05,10,Arkansas,Asian,36    ,27    ,74.7    ,25    ,68.8    ,2    ,7.9    ,2.5 – 13.3,,
05,13,Arkansas,Hispanic or Latino ethnicity,86    ,66    ,76.9    ,62    ,72.1    ,4    ,6.3    ,3 – 9.6,,
05,14,Arkansas,"Hispanic or Latino ethnicity, men",53    ,46    ,86.7    ,42    ,80.0    ,4    ,7.7    ,3.7 – 11.7,,
05,16,Arkansas,"Married men, spouse present",606    ,442    ,72.9    ,422    ,69.7    ,19    ,4.4    ,3.3 – 5.5,,
05,17,Arkansas,"Married women, spouse present",600    ,364    ,60.7    ,348    ,58.0    ,16    ,4.5    ,3.2 – 5.8,,
05,18,Arkansas,Women who maintain families,145    ,92    ,63.3    ,81    ,55.8    ,11    ,11.8    ,8 – 15.6,,
05,19,Arkansas,"Total, 16 to 19 years",155    ,57    ,36.7    ,40    ,25.9    ,17    ,29.5    ,23.4 – 35.6,,
05,20,Arkansas,"Total, 20 to 24 years",197    ,158    ,80.1    ,142    ,72.0    ,16    ,10.2    ,7.4 – 13,,
05,21,Arkansas,"Total, 25 to 34 years",385    ,316    ,82.1    ,293    ,76.1    ,23    ,7.3    ,5.6 – 9,,
05,22,Arkansas,"Total, 35 to 44 years",335    ,277    ,82.8    ,258    ,77.0    ,19    ,7.0    ,5.2 – 8.8,,
05,23,Arkansas,"Total, 45 to 54 years",394    ,302    ,76.7    ,281    ,71.4    ,21    ,7.0    ,5.3 – 8.7,,
05,24,Arkansas,"Total, 55 to 64 years",340    ,199    ,58.6    ,192    ,56.3    ,8    ,3.9    ,2.3 – 5.5,,
05,25,Arkansas,"Total, 65 years and over",400    ,64    ,16.0    ,61    ,15.2    ,3    ,5.3    ,2 – 8.6,,
05,26,Arkansas,"Men, 16 to 19 years",77    ,30    ,39.1    ,21    ,27.7    ,9    ,29.3    ,20.8 – 37.8,,
05,27,Arkansas,"Men, 20 to 24 years",92    ,83    ,90.0    ,73    ,79.2    ,10    ,12.0    ,7.9 – 16.1,,
05,28,Arkansas,"Men, 25 to 34 years",200    ,183    ,91.4    ,170    ,84.9    ,13    ,7.1    ,4.9 – 9.3,,
05,29,Arkansas,"Men, 35 to 44 years",161    ,142    ,88.1    ,130    ,81.2    ,11    ,7.9    ,5.3 – 10.5,,
05,30,Arkansas,"Men, 45 to 54 years",190    ,160    ,84.0    ,147    ,77.0    ,13    ,8.3    ,5.8 – 10.8,,
05,31,Arkansas,"Men, 55 to 64 years",162    ,101    ,62.3    ,98    ,60.8    ,2    ,2.3    ,0.6 – 4,,
05,32,Arkansas,"Men, 65 years and over",177    ,34    ,19.1    ,32    ,18.1    ,2    ,5.1    ,0.7 – 9.5,,
05,33,Arkansas,"Women, 16 to 19 years",79    ,27    ,34.4    ,19    ,24.2    ,8    ,29.8    ,20.9 – 38.7,,
05,34,Arkansas,"Women, 20 to 24 years",105    ,75    ,71.5    ,69    ,65.6    ,6    ,8.3    ,4.6 – 12,,
05,35,Arkansas,"Women, 25 to 34 years",185    ,133    ,72.1    ,123    ,66.7    ,10    ,7.4    ,4.8 – 10,,
05,36,Arkansas,"Women, 35 to 44 years",174    ,135    ,77.8    ,127    ,73.2    ,8    ,6.0    ,3.6 – 8.4,,
05,37,Arkansas,"Women, 45 to 54 years",203    ,142    ,69.9    ,134    ,66.0    ,8    ,5.5    ,3.3 – 7.7,,
05,38,Arkansas,"Women, 55 to 64 years",179    ,99    ,55.3    ,93    ,52.2    ,5    ,5.6    ,2.9 – 8.3,,
05,39,Arkansas,"Women, 65 years and over",223    ,30    ,13.6    ,29    ,12.9    ,2    ,5.4    ,0.6 – 10.2,,
05,40,Arkansas,"White, 16 to 19 years",120    ,45    ,37.4    ,34    ,28.4    ,11    ,24.0    ,17.2 – 30.8,,
05,41,Arkansas,"White, 20 to 24 years",151    ,124    ,82.4    ,112    ,74.4    ,12    ,9.6    ,6.6 – 12.6,,
05,42,Arkansas,"White, 25 to 34 years",298    ,246    ,82.5    ,233    ,78.1    ,13    ,5.3    ,3.6 – 7,,
05,43,Arkansas,"White, 35 to 44 years",269    ,225    ,83.4    ,212    ,78.7    ,13    ,5.6    ,3.8 – 7.4,,
05,44,Arkansas,"White, 45 to 54 years",321    ,258    ,80.4    ,240    ,74.9    ,18    ,6.8    ,5 – 8.6,,
05,45,Arkansas,"White, 55 to 64 years",289    ,172    ,59.7    ,166    ,57.6    ,6    ,3.5    ,1.8 – 5.2,,
05,46,Arkansas,"White, 65 years and over",363    ,57    ,15.8    ,55    ,15.3    ,2    ,3.2    ,0.4 – 6,,
05,48,Arkansas,"Black or African American, 20 to 24 years",38    ,27    ,71.7    ,24    ,65.0    ,2    ,9.3    ,4.1 – 14.5,,
05,49,Arkansas,"Black or African American, 25 to 34 years",65    ,54    ,83.0    ,45    ,69.4    ,9    ,16.4    ,( 2 ) – ( 2 ),,
05,50,Arkansas,"Black or African American, 35 to 44 years",49    ,38    ,76.6    ,32    ,65.5    ,5    ,14.4    ,12.3 – 16.5,,
05,51,Arkansas,"Black or African American, 45 to 54 years",58    ,35    ,59.9    ,32    ,55.6    ,2    ,7.2    ,2.4 – 12,,
05,52,Arkansas,"Black or African American, 55 to 64 years",46    ,25    ,54.0    ,23    ,50.0    ,2    ,7.4    ,1.8 – 13,,
06,01,California,Total,"28,025    ","18,250    ",65.1    ,"16,190    ",57.8    ,"2,060    ",11.3    ,11 – 11.6,,
06,02,California,Men,"13,794    ","10,031    ",72.7    ,"8,794    ",63.8    ,"1,237    ",12.3    ,11.9 – 12.7,,
06,03,California,Women,"14,231    ","8,218    ",57.7    ,"7,396    ",52.0    ,823    ,10.0    ,9.6 – 10.4,,
06,04,California,White,"21,704    ","14,260    ",65.7    ,"12,651    ",58.3    ,"1,610    ",11.3    ,10.9 – 11.7,,
06,05,California,"White, men","10,805    ","7,971    ",73.8    ,"6,993    ",64.7    ,979    ,12.3    ,11.8 – 12.8,,
06,06,California,"White, women","10,899    ","6,289    ",57.7    ,"5,658    ",51.9    ,631    ,10.0    ,9.5 – 10.5,,
06,07,California,Black or African American,"1,793    ","1,084    ",60.4    ,928    ,51.8    ,155    ,14.3    ,12.9 – 15.7,,
06,08,California,"Black or African American, men",837    ,539    ,64.3    ,455    ,54.4    ,84    ,15.5    ,13.5 – 17.5,,
06,09,California,"Black or African American, women",955    ,545    ,57.0    ,473    ,49.5    ,72    ,13.2    ,11.3 – 15.1,,
06,10,California,Asian,"3,535    ","2,271    ",64.2    ,"2,069    ",58.5    ,202    ,8.9    ,8.1 – 9.7,,
06,11,California,"Asian, men","1,667    ","1,188    ",71.3    ,"1,069    ",64.1    ,119    ,10.0    ,8.9 – 11.1,,
06,12,California,"Asian, women","1,868    ","1,083    ",58.0    ,"1,000    ",53.5    ,83    ,7.7    ,6.6 – 8.8,,
06,13,California,Hispanic or Latino ethnicity,"9,282    ","6,302    ",67.9    ,"5,376    ",57.9    ,927    ,14.7    ,14.1 – 15.3,,
06,14,California,"Hispanic or Latino ethnicity, men","4,744    ","3,711    ",78.2    ,"3,140    ",66.2    ,571    ,15.4    ,14.6 – 16.2,,
06,15,California,"Hispanic or Latino ethnicity, women","4,537    ","2,591    ",57.1    ,"2,235    ",49.3    ,356    ,13.7    ,12.8 – 14.6,,
06,16,California,"Married men, spouse present","7,157    ","5,603    ",78.3    ,"5,124    ",71.6    ,479    ,8.6    ,8.1 – 9.1,,
06,17,California,"Married women, spouse present","6,882    ","4,058    ",59.0    ,"3,731    ",54.2    ,327    ,8.1    ,7.5 – 8.7,,
06,18,California,Women who maintain families,"1,630    ","1,108    ",68.0    ,975    ,59.8    ,134    ,12.0    ,10.7 – 13.3,,
